Kept title,Kept author,Course,New total,Record folded in (title),Record folded in (author),Its copies,Role
1984,"Orwell, George",English 10,81,1984,"Orwell, George",69,KEPT
,,,,1984,Orwell,12,merged + deleted
50 Essays - Second Edition,"Cohen, Samuel",Unassigned,14,50 Essay - Second Edition,"Cohen, Samuel",11,KEPT
,,,,"Essays, 2nd Edition",Cohen,3,merged + deleted
A Mother's Reckoning,"Klebold, Sue",Unassigned,3,A Mother's Reckoning,Klebold,2,KEPT
,,,,A Mother's Reckoning,"Klebold, Sue",1,merged + deleted
A Step From Heaven,"Na, An",Unassigned,8,A Step From Heaven,Na,6,KEPT
,,,,A Step From Heaven,"Na, An",2,merged + deleted
All American Boys,Brendan Kiely and Jason Reynolds,Unassigned,8,All American Boys,Reynolds,5,KEPT
,,,,All American Boys,Brendan Kiely and Jason Reynolds,3,merged + deleted
All the Light We Cannot See,"Doerr, Anthony",Unassigned,17,All the Light We Cannot See,Doerr,11,KEPT
,,,,All the Light We Cannot See,"Doerr, Anthony",6,merged + deleted
Amusing Ourselves to Death,"Postman, Neil",Unassigned,18,Amusing Ourselves to Death,"Zusak, Markus",10,KEPT
,,,,Asuming Ourselves to Death,Postman,8,merged + deleted
And the Mountains Echoed,"Hosseini, Khaled",Unassigned,61,Mountains Echoed,Hosseini,61,KEPT
,,,,And the Mountains Echoed,Hosseini,0,merged + deleted
Animal Farm,"Orwell, George",Unassigned,46,Animal Farm,"Orwell, George",31,KEPT
,,,,Animal Farm,Orwell,15,merged + deleted
Best-Loved Folktales,"Cole, Joanna",Unassigned,68,Best-Loved Folktales,Joanna Cole,36,KEPT
,,,,Best-Loved Folktales,Jonathan cole,32,merged + deleted
Black Boy,"Wright, Richard",Unassigned,37,Black Boy,Richard Wright,30,KEPT
,,,,Black Boy,"Wright, Richard",7,merged + deleted
Black Swan Green,"Mitchell, David",Unassigned,16,Black Swan Green,"Mitchell, David",13,KEPT
,,,,Black Swan Green,Mitchell,3,merged + deleted
Born a Crime,"Noah, Trevor",Unassigned,10,Born a Crime,"Noah, Trevor",6,KEPT
,,,,Born a Crime,Trevor Noah,4,merged + deleted
